location,date,iso_code,continent,new_cases,total_cases,new_deaths,total_deaths,reproduction_rate,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_tests_per_thousand,positive_rate,hospital_beds_per_thousand,population,population_density,median_age,gdp_per_capita,stringency_index,confirmed_cases,rolling_7day,rolling_14day,Rt,growth_rate,doubling_time,cases_per_million,future_cases_14d,future_growth,outbreak_label,xgb_risk,xgb_risk_label,warning
Afghanistan,2024-08-04,AFG,Asia,0.0,235214.0,0.0,7998.0,0.8,46.56,44.67,24.81,0.17,0.5,41128772,54.42,18.6,1803.99,0.0,209451.0,0.0,0.0,1.0,0.0,257.37178683386156,5718.964816163245,0.0,0.0,0,0,Low,✅ Stable
Albania,2024-08-04,ALB,Europe,0.0,335047.0,0.0,3605.0,0.88,47.47,45.01,565.34,0.43,2.89,2842318,104.87,38.0,11803.43,11.11,334457.0,0.0,0.0,1.0,0.0,58632.524999846915,117878.08401452616,0.0,0.0,0,0,Low,✅ Stable
Algeria,2024-08-04,DZA,Africa,18.0,272139.0,0.0,6881.0,0.91,17.46,14.43,5.22,,1.9,44903228,17.35,29.1,13913.84,11.11,271496.0,2.5714285714285716,1.7142857142857142,1.0,6.614704488083767e-05,10582.4833333225,6060.56651428267,2.5714285714285716,0.4615384615384616,0,2,High,"⚠️ Low Vaccination, Accelerating Cases"
American Samoa,2024-08-04,ASM,Oceania,0.0,8359.0,0.0,34.0,,,,,,,44295,278.2,,,,,0.0,0.0,1.0,0.0,324.37222222221374,188712.04424878655,0.0,0.0,0,0,Low,✅ Stable
Andorra,2024-08-04,AND,Europe,0.0,48015.0,0.0,159.0,0.84,72.53,67.01,3799.72,0.7,,79843,163.76,,,11.11,47890.0,0.0,0.0,1.0,0.0,819.0682926828489,601367.6840800069,0.0,0.0,0,2,High,✅ Stable
Angola,2024-08-04,AGO,Africa,0.0,107481.0,0.0,1937.0,0.13,46.5,27.0,46.91,0.03,,35588996,23.89,16.8,5819.5,17.02,105288.0,0.0,0.0,1.0,0.0,37617.65000000761,3020.06271826269,0.0,0.0,0,0,Low,✅ Stable
Anguilla,2024-08-04,AIA,North America,0.0,3904.0,0.0,12.0,,68.36,65.38,3261.73,0.08,,15877,,,,,,0.0,0.0,1.0,0.0,71.21578947368403,245890.28153933364,0.0,0.0,0,2,High,✅ Stable
Antigua and Barbuda,2024-08-04,ATG,North America,0.0,9106.0,0.0,146.0,0.0,68.56,66.53,179.15,0.01,3.8,93772,231.84,32.1,21490.94,,9106.0,0.0,0.0,1.0,0.0,796.0749999999513,97107.87868446871,0.0,0.0,0,0,Low,✅ Stable
Argentina,2024-08-04,ARG,South America,54.0,10101218.0,1.0,130663.0,0.09,91.25,76.69,809.78,0.29,5.0,45510324,16.18,31.9,18933.91,14.38,10044957.0,7.714285714285714,9.928571428571429,1.0,5.345918549615192e-06,130941.01481407478,221954.4295048306,7.714285714285714,0.5454545454545455,0,2,High,✅ Stable
Armenia,2024-08-04,ARM,Asia,0.0,452273.0,0.0,8777.0,-0.07,41.39,37.07,1111.54,0.0,4.2,2780472,102.93,35.7,8787.58,,447308.0,0.0,0.0,1.0,0.0,5862.098148147036,162660.51231589456,0.0,0.0,0,0,Low,✅ Stable
